thoi_gian,dong_tien,don_hang,san_pham
1,18000,520,1050
6,30000,820,1550
12,55000,1300,2600
15,24000,680,1320
20,36000,920,1800
26,23000,640,1260
31,43000,1070,2140
34,58000,1380,2700
35,22215,1135,2005
36,22364,1154,2036
37,22513,1173,2067
38,22662,1192,2098
39,22811,1211,2129
40,22960,1230,2160
41,23109,1249,2191
42,23258,1268,2222
43,23407,1287,2253
44,23556,1306,2284
45,23705,1325,2315
46,23854,1344,2346
47,24003,1363,2377
48,24152,1382,2408
49,24301,1401,2439
50,24450,1420,2470
51,24599,1439,2501
52,24748,1458,2532
53,24897,1477,2563
54,25046,1496,2594
55,25195,1515,2625
56,25344,1534,2656
57,25493,1553,2687
58,25642,1572,2718
59,25791,1591,2749
60,25940,1610,2780
61,26089,479,2811
62,26238,498,2842
63,26387,517,2873
64,26536,536,2904
65,26685,555,2935
66,26834,574,2966
67,26983,593,2997
68,27132,612,3028
69,27281,631,3059
70,27430,650,3090
71,27579,669,3121
72,27728,688,3152
73,27877,707,3183
74,28026,726,3214
75,28175,745,945
76,28324,764,976
77,28473,783,1007
78,28622,802,1038
79,28771,821,1069
80,28920,840,1100
81,29069,859,1131
82,29218,878,1162
83,29367,897,1193
84,29516,916,1224
85,29665,935,1255
86,29814,954,1286
87,29963,973,1317
88,30112,992,1348
89,30261,1011,1379
90,30410,1030,1410
91,30559,1049,1441
92,30708,1068,1472
93,30857,1087,1503
94,31006,1106,1534
95,31155,1125,1565
96,31304,1144,1596
97,31453,1163,1627
98,31602,1182,1658
99,31751,1201,1689
100,31900,1220,1720
101,32049,1239,1751
102,32198,1258,1782
103,32347,1277,1813
104,32496,1296,1844
105,32645,1315,1875
106,32794,1334,1906
107,32943,1353,1937
108,33092,1372,1968
109,33241,1391,1999
110,33390,1410,2030
111,33539,1429,2061
112,33688,1448,2092
113,33837,1467,2123
114,33986,1486,2154
115,34135,1505,2185
116,34284,1524,2216
117,34433,1543,2247
118,34582,1562,2278
119,34731,1581,2309
120,34880,1600,2340
121,35029,1619,2371
122,35178,488,2402
123,35327,507,2433
124,35476,526,2464
125,35625,545,2495
126,35774,564,2526
127,35923,583,2557
128,36072,602,2588
129,36221,621,2619
130,36370,640,2650
131,36519,659,2681
132,36668,678,2712
133,36817,697,2743
134,36966,716,2774
