thoi_gian,dong_tien,don_hang,san_pham,khu_vuc,cua_hang,nhom_san_pham,revenue
1,15000,500,1000,Bac,CH1,ThucPham,75000
2,16000,550,1100,Trung,CH2,GiaDung,96800
3,20000,600,1200,Nam,CH3,DienTu,109200
4,25000,700,1300,Bac,CH1,GiaDung,162400
5,22000,650,1250,Trung,CH2,ThucPham,148200
6,28000,800,1500,Nam,CH3,DienTu,218400
7,30000,850,1600,Bac,CH1,DienTu,237150
8,35000,900,1750,Trung,CH2,GiaDung,293760
9,32000,880,1700,Nam,CH3,ThucPham,283360
10,40000,1000,2000,Bac,CH1,GiaDung,375000
11,45000,1100,2200,Trung,CH2,DienTu,484000
12,50000,1200,2500,Nam,CH3,ThucPham,612000
13,15000,500,1000,Bac,CH1,DienTu,85000
14,16000,550,1100,Trung,CH2,ThucPham,86800
15,20000,600,1200,Nam,CH3,GiaDung,119200
16,25000,700,1300,Bac,CH1,ThucPham,152400
17,22000,650,1250,Trung,CH2,DienTu,158200
18,28000,800,1500,Nam,CH3,GiaDung,208400
19,30000,850,1600,Bac,CH1,ThucPham,227150
20,35000,900,1750,Trung,CH2,DienTu,303760
21,32000,880,1700,Nam,CH3,GiaDung,273360
22,40000,1000,2000,Bac,CH1,ThucPham,365000
23,45000,1100,2200,Trung,CH2,GiaDung,474000
24,50000,1200,2500,Nam,CH3,DienTu,622000
25,18000,540,1080,Bac,CH1,ThucPham,97200
26,21000,620,1230,Trung,CH2,GiaDung,130200
27,26000,760,1450,Nam,CH3,DienTu,200600
28,29000,830,1580,Bac,CH1,GiaDung,226940
29,34000,910,1780,Trung,CH2,ThucPham,288540
30,38000,980,1950,Nam,CH3,DienTu,365540
31,42000,1050,2100,Bac,CH1,DienTu,430500
32,46000,1120,2250,Trung,CH2,ThucPham,515200
33,52000,1250,2480,Nam,CH3,GiaDung,654500
34,56000,1340,2660,Bac,CH1,ThucPham,731980
35,20795,1045,1915,Nam,CH1,GiaDung,79968
36,20932,1062,1944,Bac,CH2,DienTu,86393
37,21069,1079,1973,Trung,CH3,ThucPham,77729
38,21206,1096,2002,Nam,CH1,GiaDung,83467
39,21343,1113,2031,Bac,CH2,DienTu,90119
40,21480,1130,2060,Trung,CH3,ThucPham,81033
41,21617,1147,2089,Nam,CH1,GiaDung,86966
42,21754,1164,2118,Bac,CH2,DienTu,93844
43,21891,1181,2147,Trung,CH3,ThucPham,84337
44,22028,1198,2176,Nam,CH1,GiaDung,90464
45,22165,1215,2205,Bac,CH2,DienTu,97570
46,22302,1232,2234,Trung,CH3,ThucPham,87642
47,22439,1249,2263,Nam,CH1,GiaDung,93963
48,22576,1266,2292,Bac,CH2,DienTu,101295
49,22713,1283,2321,Trung,CH3,ThucPham,90946
50,22850,1300,2350,Nam,CH1,GiaDung,97462
51,22987,1317,2379,Bac,CH2,DienTu,105021
52,23124,1334,2408,Trung,CH3,ThucPham,94250
53,23261,1351,2437,Nam,CH1,GiaDung,100961
54,23398,1368,2466,Bac,CH2,DienTu,108746
55,23535,1385,2495,Trung,CH3,ThucPham,97555
56,23672,1402,2524,Nam,CH1,GiaDung,104459
57,23809,1419,2553,Bac,CH2,DienTu,112472
58,23946,1436,2582,Trung,CH3,ThucPham,100859
59,24083,1453,2611,Nam,CH1,GiaDung,107958
60,24220,1470,2640,Bac,CH2,DienTu,116197
61,24357,1487,2669,Trung,CH3,ThucPham,104163
62,24494,1504,2698,Nam,CH1,GiaDung,111457
63,24631,1521,2727,Bac,CH2,DienTu,119923
64,24768,1538,2756,Trung,CH3,ThucPham,107468
65,24905,455,2785,Nam,CH1,GiaDung,57931
66,25042,472,2814,Bac,CH2,DienTu,62928
67,25179,489,2843,Trung,CH3,ThucPham,56916
68,25316,506,2872,Nam,CH1,GiaDung,61430
69,25453,523,2901,Bac,CH2,DienTu,66654
70,25590,540,2930,Trung,CH3,ThucPham,60220
71,25727,557,2959,Nam,CH1,GiaDung,64929
72,25864,574,2988,Bac,CH2,DienTu,70379
73,26001,591,3017,Trung,CH3,ThucPham,63525
74,26138,608,3046,Nam,CH1,GiaDung,68428
75,26275,625,3075,Bac,CH2,DienTu,74105
76,26412,642,904,Trung,CH3,ThucPham,52243
77,26549,659,933,Nam,CH1,GiaDung,56482
78,26686,676,962,Bac,CH2,DienTu,61385
79,26823,693,991,Trung,CH3,ThucPham,55547
80,26960,710,1020,Nam,CH1,GiaDung,59981
81,27097,727,1049,Bac,CH2,DienTu,65111
82,27234,744,1078,Trung,CH3,ThucPham,58852
83,27371,761,1107,Nam,CH1,GiaDung,63480
84,27508,778,1136,Bac,CH2,DienTu,68836
85,27645,795,1165,Trung,CH3,ThucPham,62156
86,27782,812,1194,Nam,CH1,GiaDung,66978
87,27919,829,1223,Bac,CH2,DienTu,72561
88,28056,846,1252,Trung,CH3,ThucPham,65460
89,28193,863,1281,Nam,CH1,GiaDung,70477
90,28330,880,1310,Bac,CH2,DienTu,76287
91,28467,897,1339,Trung,CH3,ThucPham,68765
92,28604,914,1368,Nam,CH1,GiaDung,73976
93,28741,931,1397,Bac,CH2,DienTu,80012
94,28878,948,1426,Trung,CH3,ThucPham,72069
95,29015,965,1455,Nam,CH1,GiaDung,77475
96,29152,982,1484,Bac,CH2,DienTu,83738
97,29289,999,1513,Trung,CH3,ThucPham,75373
98,29426,1016,1542,Nam,CH1,GiaDung,80973
99,29563,1033,1571,Bac,CH2,DienTu,87463
100,29700,1050,1600,Trung,CH3,ThucPham,78678
101,29837,1067,1629,Nam,CH1,GiaDung,84472
102,29974,1084,1658,Bac,CH2,DienTu,91189
103,30111,1101,1687,Trung,CH3,ThucPham,81982
104,30248,1118,1716,Nam,CH1,GiaDung,87971
105,30385,1135,1745,Bac,CH2,DienTu,94914
106,30522,1152,1774,Trung,CH3,ThucPham,85286
107,30659,1169,1803,Nam,CH1,GiaDung,91469
108,30796,1186,1832,Bac,CH2,DienTu,98640
109,30933,1203,1861,Trung,CH3,ThucPham,88591
110,31070,1220,1890,Nam,CH1,GiaDung,94968
111,31207,1237,1919,Bac,CH2,DienTu,102365
112,31344,1254,1948,Trung,CH3,ThucPham,91895
113,31481,1271,1977,Nam,CH1,GiaDung,98467
114,31618,1288,2006,Bac,CH2,DienTu,106091
115,31755,1305,2035,Trung,CH3,ThucPham,95199
116,31892,1322,2064,Nam,CH1,GiaDung,101966
117,32029,1339,2093,Bac,CH2,DienTu,109816
118,32166,1356,2122,Trung,CH3,ThucPham,98504
119,32303,1373,2151,Nam,CH1,GiaDung,105464
120,32440,1390,2180,Bac,CH2,DienTu,113542
